Real,Predict
0.6043973,0.6795891
0.53885496,0.6301034
0.5432125,0.6558654
0.49867478,0.57347983
0.4841647,0.5343199
0.5467486,0.5733328
0.60086125,0.52191395
0.67309064,0.5617505
0.640958,0.5600046
0.65564775,0.6109877
0.73713124,0.62005603
0.77306944,0.6568627
0.8224075,0.74920857
0.7695205,0.6788684
0.85111314,0.77499086
0.8818916,0.8132653
0.86264545,0.7930732
0.8749992,0.8570587
0.79345155,0.83230835
0.83487034,0.84451544
0.774308,0.8371898
0.70638484,0.8070129
0.68488604,0.79794765
0.53562057,0.69160867
0.71386766,0.75804514
0.6375503,0.6686848
0.51421803,0.6087123
0.53540874,0.646991
0.54620945,0.5542548
0.6810355,0.6107006
0.7211644,0.6300612
0.6425752,0.61006975
0.6714349,0.6296559
0.70295787,0.6328706
0.78389585,0.6960829
0.8720279,0.7155929
0.9307419,0.7710698
0.9805292,0.852234
0.98029816,0.850404
0.9800992,0.97289777
0.9800094,0.9413515
0.9794831,0.9701406
0.9798361,0.9848918
0.9797976,0.9798789
0.9797591,0.98093945
0.9795858,0.97978795
0.9798618,0.9809244
0.9797206,0.98037124
0.9796564,0.97928333
0.97972697,0.9813455
0.97988105,0.9795002
0.97973984,0.9813472
0.97963715,0.9808542
0.97949594,0.97941065
0.9790724,0.981848
0.97952807,0.9791365
0.9788606,0.97977096
0.9796179,0.9801807
0.9793997,0.9790475
0.9797462,0.97998685
0.97952163,0.97835207
0.9786039,0.98131156
0.9633687,0.9790688
0.9778595,0.97481936
0.9797976,0.976855
0.97937405,0.9724379
0.9799067,0.97946805
0.9797655,0.974838
0.9795922,0.97507983
0.9630093,0.98056203
0.874351,0.97182953
0.73286355,0.93664914
0.68298644,0.84230596
0.7276589,0.83808935
0.6365684,0.7766992
0.51004666,0.6237309
0.60713756,0.6602574
0.6397066,0.6151233
0.7211259,0.6568102
0.6913999,0.6351959
0.53243744,0.563937
0.6808045,0.6780071
0.6706905,0.6407957
0.69098914,0.6323589
0.8983783,0.6854559
0.9799837,0.7623198
0.97993237,0.8360018
0.9796051,0.80203664
0.97995806,0.92269385
0.97961146,0.96172863
0.9268529,0.980796
0.59928894,0.955273
0.22311854,0.6946782
0.21243334,0.50559163
0.12188188,0.31954953
0.11049075,0.06320554
0.052489042,0.1297083
0.0429975,0.10006743
0.03899938,0.087781966
0.04539766,0.037646756
0.028750569,0.052090168
0.01355384,0.041530233
0.0062570996,0.025806073
0.023475353,0.028218275
0.09696258,0.0187954
0.15850034,0.047004834
0.122600645,0.073605
0.12545003,0.031655565
0.18970883,0.11443815
0.23681356,0.14634305
0.2854585,0.16915767
0.23895702,0.17384759
0.17966539,0.18752833
0.12134281,0.21507259
0.09492822,0.16200711
0.08872246,0.17401785
0.06891794,0.13182312
0.07277488,0.10312435
0.09884292,0.11705564
0.06826977,0.07978198
0.041669074,0.076772615
0.008933213,0.08322089
0.0043382556,0.07471269
0.0043382556,0.054829795
0.0043382556,0.029065117
0.0043382556,0.015949253
0.0043382556,0.005970704
0.0043382556,0.0051295673
0.0043382556,0.0047919513
0.0043382556,0.003109052
0.0043382556,0.003428815
0.0043382556,0.0025383586
0.0043382556,0.0021563265
0.0043382556,0.0035264725
0.0043382556,0.003821752
0.0043382556,0.0041582994
0.0043382556,0.0043503987
0.0043382556,0.004684884
0.0043382556,0.0039571417
0.0043382556,0.0037665754
0.0043382556,0.0053492947
0.016711269,0.0018693949
0.07061217,-8.168025e-05
0.15837842,0.006564228
0.18390737,0.0377295
0.21815136,0.11635124
0.2729507,0.15108249
0.26476195,0.17293157
0.2136591,0.2161563
0.25927496,0.23257276
0.27834788,0.2465687
0.35675734,0.25071916
0.26828516,0.28624535
0.3014895,0.2809773
0.26263133,0.2739278
0.3456871,0.29604453
0.27775747,0.28688544
0.31037137,0.2911969
0.29791495,0.29958016
0.30727813,0.2958408
0.2525943,0.29125252
0.22596793,0.28394425
0.16344827,0.2697582
0.17588545,0.23092116
0.15488727,0.2025006
0.17752835,0.19887216
0.16247922,0.17699088
0.22759798,0.1819702
0.19266732,0.17539206
0.14947088,0.17433019
0.10115323,0.17369594
0.09478062,0.1534737
0.12982678,0.14021668
0.13164295,0.1343987
0.19352727,0.14211608
0.14022961,0.12608036
0.16380766,0.12938052
0.16252415,0.14902759
0.10100563,0.14489055
0.04548751,0.14042854
0.013739948,0.11478512
0.014028737,0.083799005
0.020118982,0.07583611
0.039698888,0.05108783
